Iteration 0/50000  Rate: -0.3441 bit   loss = 0.3441
Iteration 9700/50000  Rate: 0.9985 bit   loss = -0.9985
Iteration 9800/50000  Rate: 0.6843 bit   loss = -0.6843
Iteration 9900/50000  Rate: 0.7559 bit   loss = -0.7559
Iteration 10000/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 10100/50000  Rate: 0.6516 bit   loss = -0.6516
Iteration 10200/50000  Rate: 0.9501 bit   loss = -0.9501
Iteration 10300/50000  Rate: 0.9976 bit   loss = -0.9976
Iteration 10400/50000  Rate: 0.9740 bit   loss = -0.9740
Iteration 10500/50000  Rate: 0.4028 bit   loss = -0.4028
Iteration 10600/50000  Rate: 0.3901 bit   loss = -0.3901
Iteration 10700/50000  Rate: 0.9216 bit   loss = -0.9216
Iteration 10800/50000  Rate: 0.9007 bit   loss = -0.9007
Iteration 10900/50000  Rate: 0.9837 bit   loss = -0.9837
Iteration 11000/50000  Rate: 0.3619 bit   loss = -0.3619
Iteration 11100/50000  Rate: 0.5596 bit   loss = -0.5596
Iteration 11200/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 11300/50000  Rate: 0.9969 bit   loss = -0.9969
Iteration 11400/50000  Rate: 0.8751 bit   loss = -0.8751
Iteration 11500/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 11600/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 11700/50000  Rate: 0.6520 bit   loss = -0.6520
Iteration 11800/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 11900/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 12000/50000  Rate: 0.7980 bit   loss = -0.7980
Iteration 12100/50000  Rate: 0.8039 bit   loss = -0.8039
Iteration 12200/50000  Rate: 0.9980 bit   loss = -0.9980
Iteration 12300/50000  Rate: 0.2654 bit   loss = -0.2654
Iteration 12400/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 12500/50000  Rate: 0.9988 bit   loss = -0.9988
Iteration 12600/50000  Rate: 0.9956 bit   loss = -0.9956
Iteration 12700/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 12800/50000  Rate: 0.9855 bit   loss = -0.9855
Iteration 12900/50000  Rate: 0.4277 bit   loss = -0.4277
Iteration 13000/50000  Rate: 0.9859 bit   loss = -0.9859
Iteration 13100/50000  Rate: 0.7744 bit   loss = -0.7744
Iteration 13200/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 13300/50000  Rate: 0.9821 bit   loss = -0.9821
Iteration 13400/50000  Rate: 0.9810 bit   loss = -0.9810
Iteration 13500/50000  Rate: 0.9730 bit   loss = -0.9730
Iteration 13600/50000  Rate: 0.7282 bit   loss = -0.7282
Iteration 13700/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 13800/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 13900/50000  Rate: 0.9985 bit   loss = -0.9985
Iteration 14000/50000  Rate: 0.5062 bit   loss = -0.5062
Iteration 14100/50000  Rate: 0.7876 bit   loss = -0.7876
Iteration 14200/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 14300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 14400/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 14500/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 14600/50000  Rate: 0.3228 bit   loss = -0.3228
Iteration 14700/50000  Rate: 0.9942 bit   loss = -0.9942
Iteration 14800/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 14900/50000  Rate: 0.6558 bit   loss = -0.6558
Iteration 15000/50000  Rate: 0.9996 bit   loss = -0.9996
Iteration 15100/50000  Rate: 0.9975 bit   loss = -0.9975
Iteration 15200/50000  Rate: 0.8881 bit   loss = -0.8881
Iteration 15300/50000  Rate: 0.7251 bit   loss = -0.7251
Iteration 15400/50000  Rate: 0.4251 bit   loss = -0.4251
Iteration 15500/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 15600/50000  Rate: 0.9981 bit   loss = -0.9981
Iteration 15700/50000  Rate: 0.4965 bit   loss = -0.4965
Iteration 15800/50000  Rate: 0.9855 bit   loss = -0.9855
Iteration 15900/50000  Rate: 0.6486 bit   loss = -0.6486
Iteration 16000/50000  Rate: 0.3460 bit   loss = -0.3460
Iteration 16100/50000  Rate: 0.3845 bit   loss = -0.3845
Iteration 16200/50000  Rate: 0.8366 bit   loss = -0.8366
Iteration 16300/50000  Rate: 0.9678 bit   loss = -0.9678
Iteration 16400/50000  Rate: 0.5726 bit   loss = -0.5726
Iteration 16500/50000  Rate: 0.5495 bit   loss = -0.5495
Iteration 16600/50000  Rate: 0.9917 bit   loss = -0.9917
Iteration 16700/50000  Rate: 0.9995 bit   loss = -0.9995
Iteration 16800/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 16900/50000  Rate: 0.9555 bit   loss = -0.9555
Iteration 17000/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 17100/50000  Rate: 0.9963 bit   loss = -0.9963
Iteration 17200/50000  Rate: 0.9994 bit   loss = -0.9994
Iteration 17300/50000  Rate: 0.9986 bit   loss = -0.9986
Iteration 17400/50000  Rate: 0.6049 bit   loss = -0.6049
Iteration 17500/50000  Rate: 0.4708 bit   loss = -0.4708
Iteration 17600/50000  Rate: 0.9895 bit   loss = -0.9895
Iteration 17700/50000  Rate: 0.7466 bit   loss = -0.7466
Iteration 17800/50000  Rate: 0.9996 bit   loss = -0.9996
Iteration 17900/50000  Rate: 0.8224 bit   loss = -0.8224
Iteration 18000/50000  Rate: 0.9761 bit   loss = -0.9761
Iteration 18100/50000  Rate: 0.7144 bit   loss = -0.7144
Iteration 18200/50000  Rate: 0.9983 bit   loss = -0.9983
Iteration 18300/50000  Rate: 0.4632 bit   loss = -0.4632
Iteration 18400/50000  Rate: 0.9993 bit   loss = -0.9993
Iteration 18500/50000  Rate: 0.7005 bit   loss = -0.7005
Iteration 18600/50000  Rate: 0.9984 bit   loss = -0.9984
Iteration 18700/50000  Rate: 0.8987 bit   loss = -0.8987
Iteration 18800/50000  Rate: 0.9281 bit   loss = -0.9281
Iteration 18900/50000  Rate: 0.6595 bit   loss = -0.6595
Iteration 19000/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 19100/50000  Rate: 0.5873 bit   loss = -0.5873
Iteration 19200/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 19300/50000  Rate: 0.7382 bit   loss = -0.7382
Iteration 19400/50000  Rate: 0.5255 bit   loss = -0.5255
Iteration 19500/50000  Rate: 0.9992 bit   loss = -0.9992
Iteration 19600/50000  Rate: 0.9996 bit   loss = -0.9996
Iteration 19700/50000  Rate: 0.3365 bit   loss = -0.3365
Iteration 19800/50000  Rate: 0.3170 bit   loss = -0.3170
Iteration 19900/50000  Rate: 0.6242 bit   loss = -0.6242
Iteration 20000/50000  Rate: 0.4897 bit   loss = -0.4897
Iteration 20100/50000  Rate: 0.7695 bit   loss = -0.7695
Iteration 20200/50000  Rate: 0.9961 bit   loss = -0.9961
Iteration 20300/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 20400/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 20500/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 20600/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 20700/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 20800/50000  Rate: 0.9984 bit   loss = -0.9984
Iteration 20900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 21000/50000  Rate: 0.9975 bit   loss = -0.9975
Iteration 21100/50000  Rate: 0.9774 bit   loss = -0.9774
Iteration 21200/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 21300/50000  Rate: 0.7901 bit   loss = -0.7901
Iteration 21400/50000  Rate: 0.3471 bit   loss = -0.3471
Iteration 21500/50000  Rate: 0.6653 bit   loss = -0.6653
Iteration 21600/50000  Rate: 0.9840 bit   loss = -0.9840
Iteration 21700/50000  Rate: 0.8552 bit   loss = -0.8552
Iteration 21800/50000  Rate: 0.6924 bit   loss = -0.6924
Iteration 21900/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 22000/50000  Rate: 0.9933 bit   loss = -0.9933
Iteration 22100/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 22200/50000  Rate: 0.9999 bit   loss = -0.9999
Iteration 22300/50000  Rate: 0.9527 bit   loss = -0.9527
Iteration 22400/50000  Rate: 0.9820 bit   loss = -0.9820
Iteration 22500/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 22600/50000  Rate: 0.9820 bit   loss = -0.9820
Iteration 22700/50000  Rate: 0.9991 bit   loss = -0.9991
Iteration 22800/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 22900/50000  Rate: 0.9998 bit   loss = -0.9998
Iteration 23000/50000  Rate: 0.9974 bit   loss = -0.9974
Iteration 23100/50000  Rate: 0.9997 bit   loss = -0.9997
Iteration 23200/50000  Rate: 0.9490 bit   loss = -0.9490
Iteration 23300/50000  Rate: 0.9099 bit   loss = -0.9099
Iteration 23400/50000  Rate: 1.0000 bit   loss = -1.0000
Iteration 23500/50000  Rate: 0.9721 bit   loss = -0.9721
Iteration 23600/50000  Rate: 0.9487 bit   loss = -0.9487
