Iteration 0/50000  Rate: -0.4401 bit   loss = 0.4401
Iteration 9700/50000  Rate: 0.3022 bit   loss = -0.3022
Iteration 9800/50000  Rate: 0.6508 bit   loss = -0.6508
Iteration 9900/50000  Rate: 0.3773 bit   loss = -0.3773
Iteration 10000/50000  Rate: 0.2641 bit   loss = -0.2641
Iteration 10100/50000  Rate: 0.7336 bit   loss = -0.7336
Iteration 10200/50000  Rate: 0.2454 bit   loss = -0.2454
Iteration 10300/50000  Rate: 0.2969 bit   loss = -0.2969
Iteration 10400/50000  Rate: 0.5258 bit   loss = -0.5258
Iteration 10500/50000  Rate: 0.5809 bit   loss = -0.5809
Iteration 10600/50000  Rate: 0.5079 bit   loss = -0.5079
Iteration 10700/50000  Rate: 0.6846 bit   loss = -0.6846
Iteration 10800/50000  Rate: 0.7412 bit   loss = -0.7412
Iteration 10900/50000  Rate: 0.4514 bit   loss = -0.4514
Iteration 11000/50000  Rate: 0.1820 bit   loss = -0.1820
Iteration 11100/50000  Rate: 0.6906 bit   loss = -0.6906
Iteration 11200/50000  Rate: 0.4665 bit   loss = -0.4665
Iteration 11300/50000  Rate: 0.2096 bit   loss = -0.2096
Iteration 11400/50000  Rate: 0.7382 bit   loss = -0.7382
Iteration 11500/50000  Rate: 0.6921 bit   loss = -0.6921
Iteration 11600/50000  Rate: 0.7637 bit   loss = -0.7637
Iteration 11700/50000  Rate: 0.6123 bit   loss = -0.6123
Iteration 11800/50000  Rate: 0.4254 bit   loss = -0.4254
Iteration 11900/50000  Rate: 0.3736 bit   loss = -0.3736
Iteration 12000/50000  Rate: 0.3078 bit   loss = -0.3078
Iteration 12100/50000  Rate: 0.5108 bit   loss = -0.5108
Iteration 12200/50000  Rate: 0.3373 bit   loss = -0.3373
Iteration 12300/50000  Rate: 0.2430 bit   loss = -0.2430
Iteration 12400/50000  Rate: 0.7249 bit   loss = -0.7249
Iteration 12500/50000  Rate: 0.2496 bit   loss = -0.2496
Iteration 12600/50000  Rate: 0.5713 bit   loss = -0.5713
Iteration 12700/50000  Rate: 0.2643 bit   loss = -0.2643
Iteration 12800/50000  Rate: 0.4141 bit   loss = -0.4141
Iteration 12900/50000  Rate: 0.2349 bit   loss = -0.2349
Iteration 13000/50000  Rate: 0.6259 bit   loss = -0.6259
Iteration 13100/50000  Rate: 0.3794 bit   loss = -0.3794
Iteration 13200/50000  Rate: 0.6437 bit   loss = -0.6437
Iteration 13300/50000  Rate: 0.8285 bit   loss = -0.8285
Iteration 13400/50000  Rate: 0.3244 bit   loss = -0.3244
Iteration 13500/50000  Rate: 0.4814 bit   loss = -0.4814
Iteration 13600/50000  Rate: 0.5766 bit   loss = -0.5766
Iteration 13700/50000  Rate: 0.3307 bit   loss = -0.3307
Iteration 13800/50000  Rate: 0.4579 bit   loss = -0.4579
Iteration 13900/50000  Rate: 0.7446 bit   loss = -0.7446
Iteration 14000/50000  Rate: 0.2509 bit   loss = -0.2509
Iteration 14100/50000  Rate: 0.7791 bit   loss = -0.7791
Iteration 14200/50000  Rate: 0.6598 bit   loss = -0.6598
Iteration 14300/50000  Rate: 0.3438 bit   loss = -0.3438
Iteration 14400/50000  Rate: 0.4910 bit   loss = -0.4910
Iteration 14500/50000  Rate: 0.4496 bit   loss = -0.4496
Iteration 14600/50000  Rate: 0.6201 bit   loss = -0.6201
Iteration 14700/50000  Rate: 0.5332 bit   loss = -0.5332
Iteration 14800/50000  Rate: 0.7832 bit   loss = -0.7832
Iteration 14900/50000  Rate: 0.7314 bit   loss = -0.7314
Iteration 15000/50000  Rate: 0.7195 bit   loss = -0.7195
Iteration 15100/50000  Rate: 0.2059 bit   loss = -0.2059
Iteration 15200/50000  Rate: 0.5019 bit   loss = -0.5019
Iteration 15300/50000  Rate: 0.6873 bit   loss = -0.6873
Iteration 15400/50000  Rate: 0.6325 bit   loss = -0.6325
Iteration 15500/50000  Rate: 0.6156 bit   loss = -0.6156
Iteration 15600/50000  Rate: 0.2119 bit   loss = -0.2119
Iteration 15700/50000  Rate: 0.3208 bit   loss = -0.3208
Iteration 15800/50000  Rate: 0.2313 bit   loss = -0.2313
Iteration 15900/50000  Rate: 0.6221 bit   loss = -0.6221
Iteration 16000/50000  Rate: 0.3897 bit   loss = -0.3897
Iteration 16100/50000  Rate: 0.7923 bit   loss = -0.7923
Iteration 16200/50000  Rate: 0.5810 bit   loss = -0.5810
Iteration 16300/50000  Rate: 0.3144 bit   loss = -0.3144
Iteration 16400/50000  Rate: 0.6343 bit   loss = -0.6343
Iteration 16500/50000  Rate: 0.2466 bit   loss = -0.2466
Iteration 16600/50000  Rate: 0.4830 bit   loss = -0.4830
Iteration 16700/50000  Rate: 0.3250 bit   loss = -0.3250
Iteration 16800/50000  Rate: 0.5506 bit   loss = -0.5506
Iteration 16900/50000  Rate: 0.4870 bit   loss = -0.4870
Iteration 17000/50000  Rate: 0.8281 bit   loss = -0.8281
Iteration 17100/50000  Rate: 0.2217 bit   loss = -0.2217
Iteration 17200/50000  Rate: 0.5810 bit   loss = -0.5810
Iteration 17300/50000  Rate: 0.6775 bit   loss = -0.6775
Iteration 17400/50000  Rate: 0.8005 bit   loss = -0.8005
Iteration 17500/50000  Rate: 0.2734 bit   loss = -0.2734
Iteration 17600/50000  Rate: 0.2140 bit   loss = -0.2140
Iteration 17700/50000  Rate: 0.2306 bit   loss = -0.2306
Iteration 17800/50000  Rate: 0.5616 bit   loss = -0.5616
Iteration 17900/50000  Rate: 0.6472 bit   loss = -0.6472
Iteration 18000/50000  Rate: 0.2174 bit   loss = -0.2174
Iteration 18100/50000  Rate: 0.8561 bit   loss = -0.8561
Iteration 18200/50000  Rate: 0.3547 bit   loss = -0.3547
Iteration 18300/50000  Rate: 0.6094 bit   loss = -0.6094
Iteration 18400/50000  Rate: 0.2354 bit   loss = -0.2354
Iteration 18500/50000  Rate: 0.2522 bit   loss = -0.2522
Iteration 18600/50000  Rate: 0.3261 bit   loss = -0.3261
Iteration 18700/50000  Rate: 0.7319 bit   loss = -0.7319
Iteration 18800/50000  Rate: 0.7557 bit   loss = -0.7557
Iteration 18900/50000  Rate: 0.7548 bit   loss = -0.7548
Iteration 19000/50000  Rate: 0.3817 bit   loss = -0.3817
Iteration 19100/50000  Rate: 0.6125 bit   loss = -0.6125
Iteration 19200/50000  Rate: 0.8332 bit   loss = -0.8332
Iteration 19300/50000  Rate: 0.5531 bit   loss = -0.5531
Iteration 19400/50000  Rate: 0.2274 bit   loss = -0.2274
Iteration 19500/50000  Rate: 0.4071 bit   loss = -0.4071
Iteration 19600/50000  Rate: 0.3704 bit   loss = -0.3704
Iteration 19700/50000  Rate: 0.2333 bit   loss = -0.2333
Iteration 19800/50000  Rate: 0.8379 bit   loss = -0.8379
Iteration 19900/50000  Rate: 0.8399 bit   loss = -0.8399
Iteration 20000/50000  Rate: 0.7838 bit   loss = -0.7838
Iteration 20100/50000  Rate: 0.2768 bit   loss = -0.2768
Iteration 20200/50000  Rate: 0.8238 bit   loss = -0.8238
Iteration 20300/50000  Rate: 0.6610 bit   loss = -0.6610
Iteration 20400/50000  Rate: 0.8055 bit   loss = -0.8055
Iteration 20500/50000  Rate: 0.5334 bit   loss = -0.5334
Iteration 20600/50000  Rate: 0.6336 bit   loss = -0.6336
Iteration 20700/50000  Rate: 0.2362 bit   loss = -0.2362
Iteration 20800/50000  Rate: 0.7050 bit   loss = -0.7050
Iteration 20900/50000  Rate: 0.5857 bit   loss = -0.5857
Iteration 21000/50000  Rate: 0.4938 bit   loss = -0.4938
Iteration 21100/50000  Rate: 0.3596 bit   loss = -0.3596
Iteration 21200/50000  Rate: 0.2995 bit   loss = -0.2995
Iteration 21300/50000  Rate: 0.7348 bit   loss = -0.7348
Iteration 21400/50000  Rate: 0.5863 bit   loss = -0.5863
Iteration 21500/50000  Rate: 0.4443 bit   loss = -0.4443
Iteration 21600/50000  Rate: 0.2755 bit   loss = -0.2755
Iteration 21700/50000  Rate: 0.8209 bit   loss = -0.8209
Iteration 21800/50000  Rate: 0.5571 bit   loss = -0.5571
Iteration 21900/50000  Rate: 0.3680 bit   loss = -0.3680
Iteration 22000/50000  Rate: 0.6330 bit   loss = -0.6330
Iteration 22100/50000  Rate: 0.3527 bit   loss = -0.3527
Iteration 22200/50000  Rate: 0.4577 bit   loss = -0.4577
Iteration 22300/50000  Rate: 0.5539 bit   loss = -0.5539
Iteration 22400/50000  Rate: 0.2464 bit   loss = -0.2464
Iteration 22500/50000  Rate: 0.3069 bit   loss = -0.3069
Iteration 22600/50000  Rate: 0.3837 bit   loss = -0.3837
Iteration 22700/50000  Rate: 0.6618 bit   loss = -0.6618
Iteration 22800/50000  Rate: 0.8208 bit   loss = -0.8208
Iteration 22900/50000  Rate: 0.5461 bit   loss = -0.5461
Iteration 23000/50000  Rate: 0.3770 bit   loss = -0.3770
