Iteration 13300/50000  Rate: 0.3920 bit
Iteration 13400/50000  Rate: 0.7005 bit
Iteration 13500/50000  Rate: 0.6215 bit
Iteration 13600/50000  Rate: 0.2142 bit
Iteration 13700/50000  Rate: 0.7867 bit
Iteration 13800/50000  Rate: 0.3673 bit
Iteration 13900/50000  Rate: 0.8045 bit
Iteration 14000/50000  Rate: 0.8311 bit
Iteration 14100/50000  Rate: 0.5277 bit
Iteration 14200/50000  Rate: 0.3881 bit
Iteration 14300/50000  Rate: 0.3019 bit
Iteration 14400/50000  Rate: 0.2142 bit
Iteration 14500/50000  Rate: 0.2538 bit
Iteration 14600/50000  Rate: 0.2412 bit
Iteration 14700/50000  Rate: 0.8443 bit
Iteration 14800/50000  Rate: 0.5811 bit
Iteration 14900/50000  Rate: 0.4716 bit
Iteration 15000/50000  Rate: 0.5153 bit
Iteration 15100/50000  Rate: 0.2162 bit
Iteration 15200/50000  Rate: 0.2277 bit
Iteration 15300/50000  Rate: 0.5320 bit
Iteration 15400/50000  Rate: 0.2962 bit
Iteration 15500/50000  Rate: 0.4370 bit
Iteration 15600/50000  Rate: 0.2069 bit
Iteration 15700/50000  Rate: 0.1995 bit
Iteration 15800/50000  Rate: 0.5057 bit
Iteration 15900/50000  Rate: 0.6009 bit
Iteration 16000/50000  Rate: 0.5546 bit
Iteration 16100/50000  Rate: 0.7241 bit
Iteration 16200/50000  Rate: 0.2046 bit
Iteration 16300/50000  Rate: 0.3246 bit
Iteration 16400/50000  Rate: 0.8213 bit
Iteration 16500/50000  Rate: 0.5348 bit
Iteration 16600/50000  Rate: 0.8329 bit
Iteration 16700/50000  Rate: 0.3202 bit
Iteration 16800/50000  Rate: 0.6493 bit
Iteration 16900/50000  Rate: 0.5559 bit
Iteration 17000/50000  Rate: 0.2574 bit
Iteration 17100/50000  Rate: 0.2069 bit
Iteration 17200/50000  Rate: 0.3721 bit
Iteration 17300/50000  Rate: 0.8328 bit
Iteration 17400/50000  Rate: 0.7805 bit
Iteration 17500/50000  Rate: 0.5411 bit
Iteration 17600/50000  Rate: 0.8358 bit
Iteration 17700/50000  Rate: 0.2419 bit
Iteration 17800/50000  Rate: 0.6218 bit
Iteration 17900/50000  Rate: 0.3699 bit
Iteration 18000/50000  Rate: 0.3851 bit
Iteration 18100/50000  Rate: 0.5666 bit
Iteration 18200/50000  Rate: 0.6846 bit
Iteration 18300/50000  Rate: 0.6642 bit
Iteration 18400/50000  Rate: 0.2791 bit
Iteration 18500/50000  Rate: 0.2634 bit
Iteration 18600/50000  Rate: 0.4397 bit
Iteration 18700/50000  Rate: 0.4383 bit
Iteration 18800/50000  Rate: 0.4960 bit
Iteration 18900/50000  Rate: 0.4991 bit
Iteration 19000/50000  Rate: 0.4082 bit
Iteration 19100/50000  Rate: 0.6219 bit
Iteration 19200/50000  Rate: 0.3326 bit
Iteration 19300/50000  Rate: 0.7276 bit
Iteration 19400/50000  Rate: 0.7803 bit
Iteration 19500/50000  Rate: 0.3946 bit
Iteration 19600/50000  Rate: 0.3078 bit
Iteration 19700/50000  Rate: 0.2871 bit
Iteration 19800/50000  Rate: 0.5572 bit
Iteration 19900/50000  Rate: 0.2620 bit
Iteration 20000/50000  Rate: 0.4769 bit
Iteration 20100/50000  Rate: 0.3395 bit
Iteration 20200/50000  Rate: 0.7382 bit
Iteration 20300/50000  Rate: 0.6079 bit
Iteration 20400/50000  Rate: 0.5025 bit
Iteration 20500/50000  Rate: 0.6784 bit
Iteration 20600/50000  Rate: 0.2446 bit
Iteration 20700/50000  Rate: 0.3959 bit
Iteration 20800/50000  Rate: 0.7980 bit
Iteration 20900/50000  Rate: 0.5447 bit
Iteration 21000/50000  Rate: 0.3313 bit
Iteration 21100/50000  Rate: 0.7708 bit
Iteration 21200/50000  Rate: 0.6082 bit
Iteration 21300/50000  Rate: 0.4906 bit
Iteration 21400/50000  Rate: 0.7581 bit
Iteration 21500/50000  Rate: 0.6619 bit
Iteration 21600/50000  Rate: 0.6751 bit
Iteration 21700/50000  Rate: 0.7519 bit
Iteration 21800/50000  Rate: 0.3181 bit
Iteration 21900/50000  Rate: 0.5555 bit
Iteration 22000/50000  Rate: 0.2211 bit
Iteration 22100/50000  Rate: 0.7998 bit
Iteration 22200/50000  Rate: 0.6302 bit
Iteration 22300/50000  Rate: 0.4056 bit
Iteration 22400/50000  Rate: 0.4890 bit
Iteration 22500/50000  Rate: 0.3502 bit
Iteration 22600/50000  Rate: 0.3550 bit
Iteration 22700/50000  Rate: 0.7067 bit
Iteration 22800/50000  Rate: 0.3656 bit
Iteration 22900/50000  Rate: 0.2412 bit
Iteration 23000/50000  Rate: 0.4921 bit
Iteration 23100/50000  Rate: 0.6686 bit
Iteration 23200/50000  Rate: 0.2144 bit
Iteration 23300/50000  Rate: 0.6004 bit
Iteration 23400/50000  Rate: 0.3610 bit
Iteration 23500/50000  Rate: 0.2406 bit
Iteration 23600/50000  Rate: 0.7796 bit
Iteration 23700/50000  Rate: 0.3503 bit
Iteration 23800/50000  Rate: 0.7850 bit
Iteration 23900/50000  Rate: 0.5212 bit
Iteration 24000/50000  Rate: 0.6871 bit
Iteration 24100/50000  Rate: 0.2543 bit
Iteration 24200/50000  Rate: 0.7563 bit
Iteration 24300/50000  Rate: 0.6483 bit
Iteration 24400/50000  Rate: 0.3753 bit
Iteration 24500/50000  Rate: 0.6669 bit
Iteration 24600/50000  Rate: 0.7595 bit
Iteration 24700/50000  Rate: 0.8552 bit
Iteration 24800/50000  Rate: 0.8502 bit
Iteration 24900/50000  Rate: 0.6288 bit
Iteration 25000/50000  Rate: 0.4704 bit
Iteration 25100/50000  Rate: 0.2555 bit
Iteration 25200/50000  Rate: 0.5458 bit
Iteration 25300/50000  Rate: 0.2183 bit
Iteration 25400/50000  Rate: 0.8677 bit
Iteration 25500/50000  Rate: 0.5093 bit
Iteration 25600/50000  Rate: 0.5074 bit
Iteration 25700/50000  Rate: 0.2393 bit
Iteration 25800/50000  Rate: 0.3459 bit
Iteration 25900/50000  Rate: 0.7888 bit
Iteration 26000/50000  Rate: 0.2302 bit
Iteration 26100/50000  Rate: 0.4818 bit
Iteration 26200/50000  Rate: 0.4030 bit
Iteration 26300/50000  Rate: 0.2299 bit
Iteration 26400/50000  Rate: 0.7520 bit
Iteration 26500/50000  Rate: 0.4408 bit
Iteration 26600/50000  Rate: 0.4270 bit
Iteration 26700/50000  Rate: 0.3836 bit
Iteration 26800/50000  Rate: 0.6148 bit
Iteration 26900/50000  Rate: 0.6744 bit
Iteration 27000/50000  Rate: 0.3606 bit
Iteration 27100/50000  Rate: 0.4476 bit
Iteration 27200/50000  Rate: 0.8462 bit
Iteration 27300/50000  Rate: 0.5474 bit
Iteration 27400/50000  Rate: 0.2784 bit
Iteration 27500/50000  Rate: 0.7939 bit
Iteration 27600/50000  Rate: 0.3185 bit
Iteration 27700/50000  Rate: 0.4779 bit
Iteration 27800/50000  Rate: 0.4600 bit
Iteration 27900/50000  Rate: 0.4170 bit
Iteration 28000/50000  Rate: 0.4899 bit
Iteration 28100/50000  Rate: 0.5474 bit
Iteration 28200/50000  Rate: 0.4701 bit
Iteration 28300/50000  Rate: 0.4801 bit
Iteration 28400/50000  Rate: 0.6914 bit
Iteration 28500/50000  Rate: 0.8397 bit
Iteration 28600/50000  Rate: 0.7795 bit
Iteration 28700/50000  Rate: 0.7021 bit
Iteration 28800/50000  Rate: 0.6117 bit
Iteration 28900/50000  Rate: 0.2719 bit
Iteration 29000/50000  Rate: 0.6796 bit
Iteration 29100/50000  Rate: 0.5228 bit
Iteration 29200/50000  Rate: 0.6538 bit
Iteration 29300/50000  Rate: 0.2251 bit
Iteration 29400/50000  Rate: 0.3682 bit
Iteration 29500/50000  Rate: 0.4551 bit
Iteration 29600/50000  Rate: 0.7761 bit
Iteration 29700/50000  Rate: 0.7535 bit
Iteration 29800/50000  Rate: 0.3065 bit
Iteration 29900/50000  Rate: 0.3355 bit
Iteration 30000/50000  Rate: 0.3805 bit
Iteration 30100/50000  Rate: 0.5464 bit
Iteration 30200/50000  Rate: 0.4208 bit
Iteration 30300/50000  Rate: 0.3403 bit
Iteration 30400/50000  Rate: 0.3673 bit
Iteration 30500/50000  Rate: 0.2527 bit
Iteration 30600/50000  Rate: 0.4193 bit
Iteration 30700/50000  Rate: 0.6546 bit
Iteration 30800/50000  Rate: 0.7599 bit
Iteration 30900/50000  Rate: 0.5862 bit
Iteration 31000/50000  Rate: 0.8354 bit
Iteration 31100/50000  Rate: 0.8029 bit
Iteration 31200/50000  Rate: 0.4989 bit
Iteration 31300/50000  Rate: 0.8334 bit
Iteration 31400/50000  Rate: 0.8452 bit
Iteration 31500/50000  Rate: 0.8601 bit
Iteration 31600/50000  Rate: 0.4417 bit
Iteration 31700/50000  Rate: 0.5843 bit
Iteration 31800/50000  Rate: 0.8073 bit
Iteration 31900/50000  Rate: 0.4768 bit
Iteration 32000/50000  Rate: 0.6351 bit
Iteration 32100/50000  Rate: 0.7697 bit
Iteration 32200/50000  Rate: 0.5003 bit
Iteration 32300/50000  Rate: 0.7032 bit
Iteration 32400/50000  Rate: 0.5498 bit
Iteration 32500/50000  Rate: 0.5833 bit
Iteration 32600/50000  Rate: 0.5531 bit
Iteration 32700/50000  Rate: 0.7751 bit
Iteration 32800/50000  Rate: 0.3405 bit
Iteration 32900/50000  Rate: 0.4304 bit
Iteration 33000/50000  Rate: 0.6889 bit
Iteration 33100/50000  Rate: 0.7846 bit
Iteration 33200/50000  Rate: 0.5152 bit
Iteration 33300/50000  Rate: 0.3589 bit
Iteration 33400/50000  Rate: 0.2909 bit
Iteration 33500/50000  Rate: 0.3147 bit
Iteration 33600/50000  Rate: 0.8541 bit
Iteration 33700/50000  Rate: 0.4889 bit
Iteration 33800/50000  Rate: 0.7096 bit
Iteration 33900/50000  Rate: 0.3672 bit
Iteration 34000/50000  Rate: 0.8450 bit
Iteration 34100/50000  Rate: 0.2147 bit
Iteration 34200/50000  Rate: 0.8249 bit
Iteration 34300/50000  Rate: 0.8474 bit
Iteration 34400/50000  Rate: 0.3508 bit
Iteration 34500/50000  Rate: 0.6278 bit
Iteration 34600/50000  Rate: 0.3523 bit
Iteration 34700/50000  Rate: 0.7748 bit
Iteration 34800/50000  Rate: 0.4760 bit
Iteration 34900/50000  Rate: 0.8146 bit
Iteration 35000/50000  Rate: 0.5003 bit
Iteration 35100/50000  Rate: 0.6786 bit
Iteration 35200/50000  Rate: 0.3007 bit
Iteration 35300/50000  Rate: 0.4102 bit
Iteration 35400/50000  Rate: 0.5581 bit
Iteration 35500/50000  Rate: 0.3678 bit
Iteration 35600/50000  Rate: 0.7492 bit
Iteration 35700/50000  Rate: 0.6860 bit
Iteration 35800/50000  Rate: 0.5885 bit
Iteration 35900/50000  Rate: 0.4259 bit
Iteration 36000/50000  Rate: 0.6181 bit
Iteration 36100/50000  Rate: 0.8432 bit
Iteration 36200/50000  Rate: 0.2276 bit
Iteration 36300/50000  Rate: 0.2873 bit
Iteration 36400/50000  Rate: 0.7593 bit
Iteration 36500/50000  Rate: 0.3588 bit
Iteration 36600/50000  Rate: 0.5224 bit
Iteration 36700/50000  Rate: 0.7486 bit
Iteration 36800/50000  Rate: 0.6739 bit
Iteration 36900/50000  Rate: 0.2593 bit
Iteration 37000/50000  Rate: 0.7200 bit
Iteration 37100/50000  Rate: 0.4225 bit
Iteration 37200/50000  Rate: 0.4165 bit
Iteration 37300/50000  Rate: 0.3472 bit
Iteration 37400/50000  Rate: 0.7990 bit
Iteration 37500/50000  Rate: 0.7319 bit
Iteration 37600/50000  Rate: 0.2415 bit
Iteration 37700/50000  Rate: 0.2763 bit
Iteration 37800/50000  Rate: 0.3256 bit
Iteration 37900/50000  Rate: 0.7024 bit
Iteration 38000/50000  Rate: 0.6975 bit
Iteration 38100/50000  Rate: 0.7897 bit
Iteration 38200/50000  Rate: 0.3084 bit
Iteration 38300/50000  Rate: 0.3789 bit
Iteration 38400/50000  Rate: 0.5740 bit
Iteration 38500/50000  Rate: 0.5404 bit
Iteration 38600/50000  Rate: 0.2888 bit
Iteration 38700/50000  Rate: 0.6019 bit
Iteration 38800/50000  Rate: 0.5745 bit
Iteration 38900/50000  Rate: 0.3083 bit
Iteration 39000/50000  Rate: 0.5515 bit
Iteration 39100/50000  Rate: 0.5415 bit
Iteration 39200/50000  Rate: 0.4402 bit
Iteration 39300/50000  Rate: 0.6947 bit
Iteration 39400/50000  Rate: 0.3201 bit
Iteration 39500/50000  Rate: 0.8742 bit
Iteration 39600/50000  Rate: 0.2170 bit
Iteration 39700/50000  Rate: 0.5715 bit
Iteration 39800/50000  Rate: 0.7888 bit
Iteration 39900/50000  Rate: 0.6912 bit
Iteration 40000/50000  Rate: 0.4565 bit
Iteration 40100/50000  Rate: 0.4702 bit
Iteration 40200/50000  Rate: 0.5586 bit
Iteration 40300/50000  Rate: 0.6788 bit
Iteration 40400/50000  Rate: 0.2149 bit
Iteration 40500/50000  Rate: 0.3283 bit
